artifact_type,bundle,file,destination_relative_path,producer_path,bytes,rows,columns,sha256
panel_source_data,Intro-method,Intro-method/Intro-method_panel_inventory.csv,experiments/manuscript_figure_source_data/Intro-method/Intro-method_panel_inventory.csv,manual figure inventory,358,5,3,da8ca867492efd7536540b8134d8589c7b4b0d67291d17f9f23a83655c086cd3
panel_source_data,computational_application_case,computational_application_case/candidate_screening_trajectory_608.csv,experiments/manuscript_figure_source_data/computational_application_case/candidate_screening_trajectory_608.csv,experiments/computational_application_case/scripts/build_refactored_application_case.py,1023914,608,112,2b491f302512a5263e7d9a830367448fe60334f0e23ea3dd08c9baefabbb3c8e
panel_source_data,computational_application_case,computational_application_case/chemical_identity_audit_old_unseen_pool.csv,experiments/manuscript_figure_source_data/computational_application_case/chemical_identity_audit_old_unseen_pool.csv,experiments/computational_application_case/scripts/build_refactored_application_case.py,114585,649,6,57c47286f0501d0bc37340978afbcbc8c307a00e017aaa77065da660772d5554
panel_source_data,computational_application_case,computational_application_case/cross_protocol_decision_matrix.csv,experiments/manuscript_figure_source_data/computational_application_case/cross_protocol_decision_matrix.csv,experiments/computational_application_case/scripts/build_refactored_application_case.py,6131,24,13,840c06e6698ae1a56df1a63e015d0d2147b94c6450cfc0f1ffd7ad8466a1bd98
panel_source_data,computational_application_case,computational_application_case/downstream_qualification_priorities.csv,experiments/manuscript_figure_source_data/computational_application_case/downstream_qualification_priorities.csv,experiments/computational_application_case/scripts/build_refactored_application_case.py,1610,4,20,5e2f3655903ade23fff03cd03172620b12333b0218a25a09448f0446cab383fa
panel_source_data,computational_application_case,computational_application_case/extended_endpoint_transport_tradeoff.csv,experiments/manuscript_figure_source_data/computational_application_case/extended_endpoint_transport_tradeoff.csv,experiments/computational_application_case/scripts/build_refactored_application_case.py,407,8,3,6bb4541211d5fd951e411479f56cd3d41f562cecf44a1e7b9ee984515362793c
panel_source_data,computational_application_case,computational_application_case/final_candidate_constraint_margins.csv,experiments/manuscript_figure_source_data/computational_application_case/final_candidate_constraint_margins.csv,experiments/computational_application_case/scripts/build_refactored_application_case.py,6209,40,9,79a285dd2369f1141433e0620e6a9f3acd1725ea884b4105d2fcd2f50245a799
panel_source_data,computational_application_case,computational_application_case/final_prioritized_candidates.csv,experiments/manuscript_figure_source_data/computational_application_case/final_prioritized_candidates.csv,experiments/computational_application_case/scripts/build_refactored_application_case.py,19769,8,129,3cdb8eda699cc0d4307dabfe463264ff94717d1458064fe1efc55b359a93be9e
panel_source_data,computational_application_case,computational_application_case/panel_a_candidate_space_funnel.csv,experiments/manuscript_figure_source_data/computational_application_case/panel_a_candidate_space_funnel.csv,experiments/computational_application_case/scripts/build_refactored_application_case.py,400,6,4,e64c4884e01ced8ea860426dd668c22e9d4a6191cf6dd6a1cf4bd7635f88e08d
panel_source_data,computational_application_case,computational_application_case/panel_a_reference_cell_scenario_parameters.csv,experiments/manuscript_figure_source_data/computational_application_case/panel_a_reference_cell_scenario_parameters.csv,experiments/computational_application_case/scripts/build_refactored_application_case.py,236,7,4,21f201de04beaefc099ecd2dedd028aa26b0579ab5fe611c21826a575cb108bb
