figure_id,panel_mapping,csv_file,description,origin,rows,columns,sha256
auditable_virtual_screening_validation,a,source_data/auditable_virtual_screening_validation/candidate_screening_trajectory_608.csv,Complete 608-candidate screening trajectory and hard constraints.,experiments/computational_application_case/chapter_results/csv/candidate_screening_trajectory_608.csv,608,112,2b491f302512a5263e7d9a830367448fe60334f0e23ea3dd08c9baefabbb3c8e
auditable_virtual_screening_validation,b,source_data/auditable_virtual_screening_validation/chemical_identity_audit_old_unseen_pool.csv,Legacy SMILES-based novelty audit.,experiments/computational_application_case/chapter_results/csv/chemical_identity_audit_old_unseen_pool.csv,649,6,57c47286f0501d0bc37340978afbcbc8c307a00e017aaa77065da660772d5554
auditable_virtual_screening_validation,b,source_data/auditable_virtual_screening_validation/standard_inchikey_identity_audit_608.csv,Charge-aware InChIKey identity audit for the evaluated pool.,experiments/computational_application_case/chapter_results/csv/standard_inchikey_identity_audit_608.csv,608,19,8f0bc682b0152ad2686020398df16ce0b6f1254c30c2b72a840b10ab99778b28
auditable_virtual_screening_validation,a,source_data/auditable_virtual_screening_validation/pareto_rank1_all_candidates.csv,All twelve Pareto-rank-1 candidates.,experiments/computational_application_case/chapter_results/csv/pareto_rank1_all_candidates.csv,12,129,85559f7cd5acd99645e911167c2d7ba36fcdc62498693a04bed202bd674aba7e
auditable_virtual_screening_validation,"a,f",source_data/auditable_virtual_screening_validation/pareto_rank1_top8_selection.csv,Deterministic Pareto-rank-1 to Top-8 selection record.,experiments/computational_application_case/chapter_results/csv/pareto_rank1_top8_selection.csv,12,129,e3e7f20f2ed274706087bf0879d54f8738818bcdbfbdc89e7f203561686ec0a8
auditable_virtual_screening_validation,c,source_data/auditable_virtual_screening_validation/final_candidate_constraint_margins.csv,Hard-constraint margins for the formal shortlist.,experiments/computational_application_case/chapter_results/csv/final_candidate_constraint_margins.csv,40,9,79a285dd2369f1141433e0620e6a9f3acd1725ea884b4105d2fcd2f50245a799
auditable_virtual_screening_validation,d,source_data/auditable_virtual_screening_validation/reference_bootstrap_candidate_selection.csv,Candidate-level bootstrap selection frequencies.,experiments/computational_application_case/chapter_results/csv/reference_bootstrap_candidate_selection.csv,608,7,847c6036a6a71c55d31ec55798decd7431e0b34ca64bd84e77d26624d23b48fb
auditable_virtual_screening_validation,e,source_data/auditable_virtual_screening_validation/cross_protocol_decision_matrix.csv,Primary and sensitivity-protocol decisions.,experiments/computational_application_case/chapter_results/csv/cross_protocol_decision_matrix.csv,24,13,840c06e6698ae1a56df1a63e015d0d2147b94c6450cfc0f1ffd7ad8466a1bd98
auditable_virtual_screening_validation,f,source_data/auditable_virtual_screening_validation/downstream_qualification_priorities.csv,Automatically selected qualification roles.,experiments/computational_application_case/chapter_results/csv/downstream_qualification_priorities.csv,4,20,5e2f3655903ade23fff03cd03172620b12333b0218a25a09448f0446cab383fa
auditable_virtual_screening_validation,f,source_data/auditable_virtual_screening_validation/qualification_role_selection_audit.csv,Qualification-role eligibility and deterministic selection audit.,experiments/computational_application_case/chapter_results/csv/qualification_role_selection_audit.csv,32,7,931c5ad94c243b98e53b331222f54f0bf596923d39e85e84df6a01eea772e948
auditable_virtual_screening_validation,"a,c,e,f",source_data/auditable_virtual_screening_validation/final_prioritized_candidates.csv,Formal eight-candidate shortlist.,experiments/computational_application_case/chapter_results/csv/final_prioritized_candidates.csv,8,129,3cdb8eda699cc0d4307dabfe463264ff94717d1458064fe1efc55b359a93be9e
auditable_virtual_screening_validation,a,source_data/auditable_virtual_screening_validation/panel_a_candidate_space_funnel.csv,Figure-ready candidate-space funnel counts.,derived from copied application CSVs and the prespecified 30 x 30 pool,6,4,e64c4884e01ced8ea860426dd668c22e9d4a6191cf6dd6a1cf4bd7635f88e08d
dataset_statistics,a,source_data/dataset_statistics/dataset_statistics_source_data_A.csv,Exact panel-level dataset-statistics source data.,experiments/manuscript_figure_source_data/dataset_statistics/dataset_statistics_source_data_A.csv,6,7,b905e8b80b8e14f12a6eb681462ea68ed4c24c95d8e738b987f12c3fccd68933
dataset_statistics,b,source_data/dataset_statistics/dataset_statistics_source_data_B.csv,Exact panel-level dataset-statistics source data.,experiments/manuscript_figure_source_data/dataset_statistics/dataset_statistics_source_data_B.csv,30,8,beeca1d60c87cb3989ef5d87059b9bd4bd6e3a7a11d797fa12b6c97278341dbb
dataset_statistics,c,source_data/dataset_statistics/dataset_statistics_source_data_C.csv,Exact panel-level dataset-statistics source data.,experiments/manuscript_figure_source_data/dataset_statistics/dataset_statistics_source_data_C.csv,6750,11,6fb0f1ad5ce25ad97e8cc951ecb69de4192477f546b10514329aec7f5fe24894
dataset_statistics,d,source_data/dataset_statistics/dataset_statistics_source_data_D.csv,Exact panel-level dataset-statistics source data.,experiments/manuscript_figure_source_data/dataset_statistics/dataset_statistics_source_data_D.csv,6,8,a2c747bf3e13d46dbb4f945fd3ad82b0c2be105986f84041e9d5818a1222cd30
dataset_statistics,e,source_data/dataset_statistics/dataset_statistics_source_data_E.csv,Exact panel-level dataset-statistics source data.,experiments/manuscript_figure_source_data/dataset_statistics/dataset_statistics_source_data_E.csv,222,11,95c7d97a2bbf60c9d1d2f90ed09ca20bb7d826d62293bb2c43c0fc3fb2dc0ec2
dataset_statistics,f,source_data/dataset_statistics/dataset_statistics_source_data_F.csv,Exact panel-level dataset-statistics source data.,experiments/manuscript_figure_source_data/dataset_statistics/dataset_statistics_source_data_F.csv,9,9,fb2a1adcf3db5cb5b689dc1b86728cf08e97b810775d67cc46c03dd06ef1f38b
dataset_statistics,g,source_data/dataset_statistics/dataset_statistics_source_data_G.csv,Exact panel-level dataset-statistics source data.,experiments/manuscript_figure_source_data/dataset_statistics/dataset_statistics_source_data_G.csv,110212,18,cd9ce5a55b1f72c902c99c5c3411ea0febc8755b721dbe53cbbb00a7fb285ce6
dataset_statistics,h,source_data/dataset_statistics/dataset_statistics_source_data_H.csv,Exact panel-level dataset-statistics source data.,experiments/manuscript_figure_source_data/dataset_statistics/dataset_statistics_source_data_H.csv,3,9,f6de3b2d04b0489522b12b38b9218613461c8d10361ebbb86ee3fea38e526299
dataset_statistics,audit,source_data/dataset_statistics/source_figure_audit.csv,Exact panel-level dataset-statistics source data.,experiments/manuscript_figure_source_data/dataset_statistics/source_figure_audit.csv,1,6,04ecf5bd2bc6c1f11515f1a064e4e332e2d3c85c6cf3584fbda733c8726a5b3b
figureS_application_decision_stability,a,source_data/figureS_application_decision_stability/threshold_sensitivity.csv,Prespecified threshold-grid sensitivity results.,experiments/computational_application_case/chapter_results/csv/threshold_sensitivity.csv,81,14,08f46390634fdff314eb6022f339d1be9d9ac2d0e7c0ca04799e7f8f66a9fb21
figureS_application_decision_stability,b,source_data/figureS_application_decision_stability/reference_bootstrap_iterations.csv,Bootstrap replicate Top-8 overlap results.,experiments/computational_application_case/chapter_results/csv/reference_bootstrap_iterations.csv,500,10,5b280b5d755dd70f5da03afef299583a530a7f65f5ba3881d353fd08622e0a2b
figureS_application_decision_stability,c,source_data/figureS_application_decision_stability/reference_bootstrap_candidate_selection.csv,Candidate-level bootstrap selection frequencies.,experiments/computational_application_case/chapter_results/csv/reference_bootstrap_candidate_selection.csv,608,7,847c6036a6a71c55d31ec55798decd7431e0b34ca64bd84e77d26624d23b48fb
figureS_application_derived_metrics,"a,b",source_data/figureS_application_derived_metrics/reference_cell_metrics_temperature.csv,Temperature-resolved Joule and conditional temperature-rise metrics.,experiments/computational_application_case/chapter_results/csv/reference_cell_metrics_temperature.csv,12760,78,055405f341e334875da947477c48e200459614aa373ef13bf8eddd2c12edb428
figureS_application_derived_metrics,"a,b",source_data/figureS_application_derived_metrics/downstream_qualification_priorities.csv,Candidate identities displayed in the SI curves.,experiments/computational_application_case/chapter_results/csv/downstream_qualification_priorities.csv,4,20,5e2f3655903ade23fff03cd03172620b12333b0218a25a09448f0446cab383fa
interpretability,j-l,source_data/interpretability/feature_importance_heatmap_combined_row_plot_data.csv,Interpretability or feature-attribution panel source data.,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/feature_importance_heatmap_combined_row_plot_data.csv,138,19,2ce77fa87ed073c58f79737db500ce4d149cc4b4bd9f4fe50253f65dcfa6c9c0
interpretability,j-l,source_data/interpretability/feature_importance_heatmap_combined_row_ranked_summary.csv,Interpretability or feature-attribution panel source data.,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/feature_importance_heatmap_combined_row_ranked_summary.csv,23,4,06726216b1f1f5796628949b1ab63edb83423681043bca7402a88758dd0fc288
interpretability,j-l,source_data/interpretability/feature_importance_heatmap_plot_data.csv,Interpretability or feature-attribution panel source data.,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/feature_importance_heatmap_plot_data.csv,138,19,070964aeea4b496a022359274f9de37d969db9297932243ca428a412ccdd081b
interpretability,j-l,source_data/interpretability/feature_importance_heatmap_ranked_summary.csv,Interpretability or feature-attribution panel source data.,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/feature_importance_heatmap_ranked_summary.csv,23,4,12b1afa6021881dec42d60a357e116aeddd2a28717056f29489c34506c6e7a2e
interpretability,k,source_data/interpretability/feature_importance_heatmap_source_data_edges.csv,Interpretability or feature-attribution panel source data.,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/feature_importance_heatmap_source_data_edges.csv,30,7,5a9c224ff38a573fb54f78a0ae6c7c4a168328dcb5a85e7bf308b491122e3a75
interpretability,l,source_data/interpretability/feature_importance_heatmap_source_data_functional_groups.csv,Interpretability or feature-attribution panel source data.,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/feature_importance_heatmap_source_data_functional_groups.csv,480,8,59ce73589919fcd428116d66ba38927d45c11d09a3fc82551e1ce2ee263cc442
interpretability,j,source_data/interpretability/feature_importance_heatmap_source_data_nodes.csv,Interpretability or feature-attribution panel source data.,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/feature_importance_heatmap_source_data_nodes.csv,36,7,2013254e4823daa806a50f60e695e01c70a17736c11b9d3e19b37c448103dfc5
interpretability,a,source_data/interpretability/interpretability_results_source_data_A.csv,Interpretability or feature-attribution panel source data.,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/interpretability_results_source_data_A.csv,5634,10,1ef18c00308a46edb342f1a21bfdc546bbe3671c00614caab180168f531bb123
interpretability,b,source_data/interpretability/interpretability_results_source_data_B.csv,Interpretability or feature-attribution panel source data.,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/interpretability_results_source_data_B.csv,6,13,be19c2555855c36e60e5b78ce9ddafd7526e829a3ee6eb6349b215e476756140
interpretability,c,source_data/interpretability/interpretability_results_source_data_C.csv,Interpretability or feature-attribution panel source data.,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/interpretability_results_source_data_C.csv,7518,3,3e9fd0075d27c15d56722f19dbe8eab135b6d015ba05f8d7f6268369123f0dda
